4970$Large ribosomal subunit protein uL10 {ECO:0000305};,
4971$Uncharacterized protein At1g51745;,
3640$Zinc finger protein 1 {ECO:0000305};,
4969$Protein DETOXIFICATION 49 {ECO:0000303|PubMed:11739388};,
3638$Peptidyl-prolyl cis-trans isomerase FKBP20-2, chloroplastic {ECO:0000303|PubMed:15047905};,
2306$Glucuronokinase 1;,
3639$Vicilin-like seed storage protein At2g28490;,
2305$Putative clathrin assembly protein At1g03050;,
2304$CBL-interacting serine/threonine-protein kinase 10;,
2303$Vacuolar-processing enzyme;,
2302$Vacuolar protein sorting 38 {ECO:0000303|PubMed:29184027};,
2301$Inactive protein RESTRICTED TEV MOVEMENT 2;,Protein RESTRICTED TEV MOVEMENT 2;,
2300$Protein DMR6-LIKE OXYGENASE 2 {ECO:0000303|PubMed:25376907};,
4961$Uncharacterized glycosyltransferase MJ1607;,
3630$Large ribosomal subunit protein uL1c {ECO:0000303|PubMed:36423343};,
4962$Transcription factor JUNGBRUNNEN 1;,
3631$DUF21 domain-containing protein At1g55930, chloroplastic;,
3632$Protein MICRORCHIDIA 1 {ECO:0000303|PubMed:22555433};,
4964$Chlorophyll a-b binding protein 3, chloroplastic;,Chlorophyll a-b binding protein 8, chloroplastic;,
3633$Leucine-rich repeat receptor protein kinase HPCA1 {ECO:0000305};,
4965$Metallothionein-like protein 4A;,
3634$SCF E3 ubiquitin ligase complex F-box protein grrA;,
4966$Receptor-like protein kinase;,
2309$Transcription factor MYB44 {ECO:0000303|PubMed:11597504};,Transcription factor MYB73 {ECO:0000303|PubMed:11597504};,
4967$Small ribosomal subunit protein eS21y {ECO:0000303|PubMed:36423343};,
3636$Ninja-family protein AFP2;,Ninja-family protein AFP3;,
2308$Ras-related protein RABA4d;,
3637$Cytochrome P450 84A1;,
4980$Uncharacterized protein At1g76660;,
4981$Pathogen-associated molecular patterns-induced protein A70 {ECO:0000303|PubMed:17215350};,
3650$Heme-binding protein 2;,
4982$Protein SOB FIVE-LIKE 5 {ECO:0000303|PubMed:29467189};,
2320$Small ribosomal subunit protein eS10z {ECO:0000303|PubMed:36423343};,Small ribosomal subunit protein eS10x {ECO:0000303|PubMed:36423343};,Small ribosomal subunit protein eS10y {ECO:0000305};,
2317$Large ribosomal subunit protein uL22 {ECO:0000255|HAMAP-Rule:MF_01331};,
